,Model,InOutSample,Location,Denomination,fh,MAPE
1,ARIMA,In Sample,Jakarta,100000,0,51.33263135
2,ARIMA,Out Sample,Jakarta,100000,1,37.4617033
3,ARIMA,Out Sample,Jakarta,100000,2,35.21283022
4,ARIMA,Out Sample,Jakarta,100000,3,34.05912047
5,ARIMA,Out Sample,Jakarta,100000,4,30.2227036
6,ARIMA,Out Sample,Jakarta,100000,5,28.37049661
7,ARIMA,Out Sample,Jakarta,100000,6,28.89229563
8,ARIMA,Out Sample,Jakarta,100000,7,36.07805135
9,ARIMA,Out Sample,Jakarta,100000,8,33.73550559
10,ARIMA,Out Sample,Jakarta,100000,9,32.7062599
11,ARIMA,Out Sample,Jakarta,100000,10,30.6135206
12,ARIMA,Out Sample,Jakarta,100000,11,29.71070827
13,ARIMA,Out Sample,Jakarta,100000,12,30.32321677
14,ARIMA,Out Sample,Jakarta,100000,13,41.95558102
15,ARIMA,Out Sample,Jakarta,100000,14,41.64307887
16,ARIMA,Out Sample,Jakarta,100000,15,39.09465927
17,ARIMA,Out Sample,Jakarta,100000,16,38.94972627
18,ARIMA,Out Sample,Jakarta,100000,17,38.51105932
19,ARIMA,Out Sample,Jakarta,100000,18,44.35029354
20,ARIMA,Out Sample,Jakarta,100000,19,45.94954127
21,ARIMA,Out Sample,Jakarta,100000,20,45.59196464
22,ARIMA,Out Sample,Jakarta,100000,21,44.2619397
23,ARIMA,Out Sample,Jakarta,100000,22,43.58259346
24,ARIMA,Out Sample,Jakarta,100000,23,41.94895911
25,ARIMA,Out Sample,Jakarta,100000,24,41.65309429
26,ARIMA,In Sample,Jakarta,50000,0,65.53272754
27,ARIMA,Out Sample,Jakarta,50000,1,20.57792372
28,ARIMA,Out Sample,Jakarta,50000,2,17.7439857
29,ARIMA,Out Sample,Jakarta,50000,3,41.97705881
30,ARIMA,Out Sample,Jakarta,50000,4,39.54483371
31,ARIMA,Out Sample,Jakarta,50000,5,33.75339578
32,ARIMA,Out Sample,Jakarta,50000,6,50.29582322
33,ARIMA,Out Sample,Jakarta,50000,7,58.46276316
34,ARIMA,Out Sample,Jakarta,50000,8,54.17153369
