Model,InOutSample,Location,Denomination,fh,MAPE,RMSE,linearmodel,nonlinearmodel,preprocessing,ID,DateExecuted,weightingMethod,weightingModel1,weightingModel2
MLP-ARIMA-Series,In Sample,Jakarta,K20000,0,11.561628779256534,20164.03434924827,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,1,35.92893944776879,169055.5405601003,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,2,44.92200693318304,286170.4506508874,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,3,155.35098687155315,233732.0566169381,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,4,417.3087657160311,231544.935157567,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,5,363.09231205226615,214872.6410951996,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,6,303.5905808258937,196167.42298415906,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,7,265.2285877579558,185212.34042947734,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,8,256.6466534610064,191945.77647848145,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,9,235.02239249521014,194361.30067367599,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
