Flow,Kota,Tahun,Bulan,K100000,K50000,K20000,K10000,K5000,K2000,K1000,L1000,L500,L200,L100,L50
Outflow,Surabaya,1994,1,,8895.000,76270.000,113716.000,16123.500,,7568.200,2.000,1.000,,175.550,109.350
Outflow,Surabaya,1994,2,,9850.000,115288.000,149567.000,19767.500,,7468.900,101.600,85.000,,262.850,125.050
Outflow,Surabaya,1994,3,,16225.000,148720.000,140498.000,19339.000,,12365.900,108.000,79.000,,204.300,115.150
Outflow,Surabaya,1994,4,,17255.000,69928.000,121009.000,14344.580,,6960.610,3.200,2.000,,111.700,66.700
Outflow,Surabaya,1994,5,,17225.000,84176.000,116990.000,14137.500,,6411.200,155.600,1.500,,138.250,63.850
Outflow,Surabaya,1994,6,,13750.000,116770.000,107837.000,11061.000,,7100.800,176.400,1.000,,185.850,98.300
Outflow,Surabaya,1994,7,,34645.000,80562.000,120540.000,13066.000,,7394.300,33.600,1.250,,198.100,88.550
Outflow,Surabaya,1994,8,,92200.000,154166.000,163496.000,16466.500,,6332.800,92.000,0.750,,203.550,97.400
Outflow,Surabaya,1994,9,,30910.000,127886.000,162661.000,20864.000,,6265.800,160.000,17.250,,234.850,96.100
Outflow,Surabaya,1994,10,,37235.000,97710.000,111383.000,8857.500,,7762.000,56.000,,,316.850,122.300
Outflow,Surabaya,1994,11,,28630.000,121112.000,101613.000,7390.000,,7885.200,,,,464.400,147.900
Outflow,Surabaya,1994,12,,24545.000,129646.000,170215.000,7560.000,,8860.600,,,,516.500,168.800
Outflow,Surabaya,1995,1,,37445.000,120066.000,109939.000,6487.500,,8927.000,2.800,0.250,,541.000,176.500
Outflow,Surabaya,1995,2,,33765.000,219802.000,191827.000,15359.000,,11854.300,12.800,18.000,,605.500,190.500
Outflow,Surabaya,1995,3,,21830.000,150542.000,98709.000,6700.500,,5618.600,,0.250,,364.000,133.380
Outflow,Surabaya,1995,4,,45300.000,112316.000,119020.000,9082.000,,6591.900,0.400,,,284.000,112.080
Outflow,Surabaya,1995,5,,41770.000,128436.000,130410.000,4638.000,,7003.500,,,,301.200,103.250
