"","Model","InOutSample","Location","Denomination","fh","MAPE","RMSE","linearmodel","nonlinearmodel","preprocessing","ID","DateExecuted"
"1","ARIMA-Individual","In Sample","Jakarta","K100000",0,41.5971721816022,1620000.32725433,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"2","ARIMA-Individual","Out Sample","Jakarta","K100000",1,4.62541680019825,211984.267330627,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"3","ARIMA-Individual","Out Sample","Jakarta","K100000",2,7.60375703628311,446317.035801895,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"4","ARIMA-Individual","Out Sample","Jakarta","K100000",3,6.46737409743155,409247.102672338,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"5","ARIMA-Individual","Out Sample","Jakarta","K100000",4,7.46584407751629,473812.344427474,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"6","ARIMA-Individual","Out Sample","Jakarta","K100000",5,12.3880914177029,1955915.88722177,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"7","ARIMA-Individual","Out Sample","Jakarta","K100000",6,15.0124435504458,1830658.73954093,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"8","ARIMA-Individual","Out Sample","Jakarta","K100000",7,14.7094313732369,1712036.32009699,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"9","ARIMA-Individual","Out Sample","Jakarta","K100000",8,14.3440680552858,1618123.80791479,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"10","ARIMA-Individual","Out Sample","Jakarta","K100000",9,13.6386324409243,1536753.81747377,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"11","ARIMA-Individual","Out Sample","Jakarta","K100000",10,14.0700952493078,1524722.1353995,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"12","ARIMA-Individual","Out Sample","Jakarta","K100000",11,18.6361800472033,4092017.00188159,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"13","ARIMA-Individual","Out Sample","Jakarta","K100000",12,33.0532633216988,4342409.0581355,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"14","ARIMA-Individual","Out Sample","Jakarta","K100000",13,34.3320226125823,4207618.93501714,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"15","ARIMA-Individual","Out Sample","Jakarta","K100000",14,33.8483110154806,4111757.71352204,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"16","ARIMA-Individual","Out Sample","Jakarta","K100000",15,32.5636497898851,3979558.86079177,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"17","ARIMA-Individual","Out Sample","Jakarta","K100000",16,31.7274801448373,3875144.32472009,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"18","ARIMA-Individual","Out Sample","Jakarta","K100000",17,31.368269185925,3819071.87551299,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"19","ARIMA-Individual","Out Sample","Jakarta","K100000",18,31.5568411521983,3727934.26673037,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"20","ARIMA-Individual","Out Sample","Jakarta","K100000",19,33.3984433071877,3675561.94436458,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"21","ARIMA-Individual","Out Sample","Jakarta","K100000",20,32.9922372129402,3618380.0850566,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"22","ARIMA-Individual","Out Sample","Jakarta","K100000",21,31.9761865186879,3535150.49157855,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"23","ARIMA-Individual","Out Sample","Jakarta","K100000",22,30.9228385745696,3456742.74505592,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"24","ARIMA-Individual","Out Sample","Jakarta","K100000",23,32.3406557288348,4261112.0172833,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"25","ARIMA-Individual","Out Sample","Jakarta","K100000",24,35.5108076796764,4265506.68378219,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"26","ARIMAX-Individual","In Sample","Jakarta","K100000",0,40.223484056706,1570087.6583251,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"27","ARIMAX-Individual","Out Sample","Jakarta","K100000",1,0.851960855914888,39045.6267266013,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"28","ARIMAX-Individual","Out Sample","Jakarta","K100000",2,3.63599769020427,256537.517256239,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"29","ARIMAX-Individual","Out Sample","Jakarta","K100000",3,5.11195915871088,414799.136402802,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"30","ARIMAX-Individual","Out Sample","Jakarta","K100000",4,5.12559313070132,391360.042935055,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"31","ARIMAX-Individual","Out Sample","Jakarta","K100000",5,11.1535979757311,2128240.50122764,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"32","ARIMAX-Individual","Out Sample","Jakarta","K100000",6,12.6073912306502,1963673.93946296,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"33","ARIMAX-Individual","Out Sample","Jakarta","K100000",7,11.6097750306712,1821069.26059543,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"34","ARIMAX-Individual","Out Sample","Jakarta","K100000",8,10.709082661634,1705651.24494991,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"35","ARIMAX-Individual","Out Sample","Jakarta","K100000",9,9.61746026294399,1608233.59683911,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"36","ARIMAX-Individual","Out Sample","Jakarta","K100000",10,11.0370954421471,1636604.46648,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
